Timezone(sec),19800
Timestamp,HR,SPO2
2023-01-04 10:56:17.916357,88,95
2023-01-04 10:56:18.116459,152,99
2023-01-04 10:56:18.317174,150,94
2023-01-04 10:56:18.517057,92,99
2023-01-04 10:56:18.717170,107,97
2023-01-04 10:56:18.918659,132,99
2023-01-04 10:56:19.117071,140,98
2023-01-04 10:56:19.316622,161,96
2023-01-04 10:56:19.517434,89,95
2023-01-04 10:56:19.716651,154,93
2023-01-04 10:56:19.916955,173,99
2023-01-04 10:56:20.116264,182,92
2023-01-04 10:56:20.316216,160,92
2023-01-04 10:56:20.516760,181,99
2023-01-04 10:56:20.717390,89,94
2023-01-04 10:56:20.917734,98,97
2023-01-04 10:56:21.116204,154,98
2023-01-04 10:56:21.317557,180,90
2023-01-04 10:56:21.517506,100,92
2023-01-04 10:56:21.717878,146,91
2023-01-04 10:56:21.917757,136,90
2023-01-04 10:56:22.117685,107,92
2023-01-04 10:56:22.319361,90,95
2023-01-04 10:56:22.517385,97,90
2023-01-04 10:56:22.717802,162,96
2023-01-04 10:56:22.917394,172,92
2023-01-04 10:56:23.117362,117,95
2023-01-04 10:56:23.317536,112,90
2023-01-04 10:56:23.517566,168,94
2023-01-04 10:56:23.717300,117,95
2023-01-04 10:56:23.917066,175,93
2023-01-04 10:56:24.117428,159,91
2023-01-04 10:56:24.316920,86,97
2023-01-04 10:56:24.517350,151,93
2023-01-04 10:56:24.717440,176,98
2023-01-04 10:56:24.916201,164,98
2023-01-04 10:56:25.116556,112,95
2023-01-04 10:56:25.317172,157,93
2023-01-04 10:56:25.516277,91,90
2023-01-04 10:56:25.716629,89,92
2023-01-04 10:56:25.916715,109,99
2023-01-04 10:56:26.116657,109,99
2023-01-04 10:56:26.317591,148,90
2023-01-04 10:56:26.517978,124,98
2023-01-04 10:56:26.716671,171,95
2023-01-04 10:56:26.917404,107,98
2023-01-04 10:56:27.117009,139,93
2023-01-04 10:56:27.317555,147,99
2023-01-04 10:56:27.517039,173,95
2023-01-04 10:56:27.716896,105,98
2023-01-04 10:56:27.916258,102,96
2023-01-04 10:56:28.117226,109,97
2023-01-04 10:56:28.317720,131,93
2023-01-04 10:56:28.516728,122,98
2023-01-04 10:56:28.716927,147,99
2023-01-04 10:56:28.917225,163,97
2023-01-04 10:56:29.116812,123,96
2023-01-04 10:56:29.317784,87,93
2023-01-04 10:56:29.517506,143,97
2023-01-04 10:56:29.717970,177,91
2023-01-04 10:56:29.916418,125,97
2023-01-04 10:56:30.116624,95,96
2023-01-04 10:56:30.316391,169,92
2023-01-04 10:56:30.516917,122,90
2023-01-04 10:56:30.717102,124,92
2023-01-04 10:56:30.916931,144,95
2023-01-04 10:56:31.116698,133,91
2023-01-04 10:56:31.317281,165,90
2023-01-04 10:56:31.516671,90,98
2023-01-04 10:56:31.716555,96,90
2023-01-04 10:56:31.917056,168,91
2023-01-04 10:56:32.117040,179,92
2023-01-04 10:56:32.316713,95,99
2023-01-04 10:56:32.516849,158,92
2023-01-04 10:56:32.717608,91,90
2023-01-04 10:56:32.917750,168,97
2023-01-04 10:56:33.118895,104,93
2023-01-04 10:56:33.316940,179,96
2023-01-04 10:56:33.517177,161,91
2023-01-04 10:56:33.717891,127,90
2023-01-04 10:56:33.916483,109,93
2023-01-04 10:56:34.116955,167,92
2023-01-04 10:56:34.317199,100,92
2023-01-04 10:56:34.516947,175,96
2023-01-04 10:56:34.717351,92,99
2023-01-04 10:56:34.916905,165,90
2023-01-04 10:56:35.116926,98,91
2023-01-04 10:56:35.316362,182,98
2023-01-04 10:56:35.517008,126,95
2023-01-04 10:56:35.716612,183,97
2023-01-04 10:56:35.916490,116,98
2023-01-04 10:56:36.117339,133,96
2023-01-04 10:56:36.316610,146,90
2023-01-04 10:56:36.517548,135,96
2023-01-04 10:56:36.716824,116,99
2023-01-04 10:56:36.916041,132,99
2023-01-04 10:56:37.119398,164,94
2023-01-04 10:56:37.317282,176,96
2023-01-04 10:56:37.519599,169,96
2023-01-04 10:56:37.717979,102,94
2023-01-04 10:56:37.919013,179,94
2023-01-04 10:56:38.117405,180,92
2023-01-04 10:56:38.317438,163,96
2023-01-04 10:56:38.517221,151,95
2023-01-04 10:56:38.716700,103,90
2023-01-04 10:56:38.917220,130,90
2023-01-04 10:56:39.117294,88,92
2023-01-04 10:56:39.316374,152,93
2023-01-04 10:56:39.516665,163,97
2023-01-04 10:56:39.716639,86,96
2023-01-04 10:56:39.917818,89,94
2023-01-04 10:56:40.116884,146,92
2023-01-04 10:56:40.317527,119,94
2023-01-04 10:56:40.517491,160,96
2023-01-04 10:56:40.716203,139,96
2023-01-04 10:56:40.917473,153,96
2023-01-04 10:56:41.116678,163,99
2023-01-04 10:56:41.316629,109,94
2023-01-04 10:56:41.516690,90,98
2023-01-04 10:56:41.717879,165,97
2023-01-04 10:56:41.918245,184,94
2023-01-04 10:56:42.116869,133,97
2023-01-04 10:56:42.316966,115,95
2023-01-04 10:56:42.516962,125,96
2023-01-04 10:56:42.716932,143,98
2023-01-04 10:56:42.918263,176,90
2023-01-04 10:56:43.116385,117,92
2023-01-04 10:56:43.317438,86,96
2023-01-04 10:56:43.516841,112,92
2023-01-04 10:56:43.717580,161,91
2023-01-04 10:56:43.917492,149,94
2023-01-04 10:56:44.117026,122,98
2023-01-04 10:56:44.316734,159,96
2023-01-04 10:56:44.518857,118,93
2023-01-04 10:56:44.716976,112,95
2023-01-04 10:56:44.917845,158,91
2023-01-04 10:56:45.117196,142,91
2023-01-04 10:56:45.317252,124,99
2023-01-04 10:56:45.518307,101,93
2023-01-04 10:56:45.716636,145,94
2023-01-04 10:56:45.917593,116,90
2023-01-04 10:56:46.117184,153,92
2023-01-04 10:56:46.317180,148,91
2023-01-04 10:56:46.519149,180,91
2023-01-04 10:56:46.717351,169,92
2023-01-04 10:56:46.917717,94,95
2023-01-04 10:56:47.116739,169,96
2023-01-04 10:56:47.316613,170,92
2023-01-04 10:56:47.516993,95,97
2023-01-04 10:56:47.717094,131,93
2023-01-04 10:56:47.916750,136,92
2023-01-04 10:56:48.117469,118,98
2023-01-04 10:56:48.317137,108,98
2023-01-04 10:56:48.517348,89,99
2023-01-04 10:56:48.717729,101,94
2023-01-04 10:56:48.916926,85,93
2023-01-04 10:56:49.117159,166,91
2023-01-04 10:56:49.317128,95,90
2023-01-04 10:56:49.517234,128,98
2023-01-04 10:56:49.717139,107,90
2023-01-04 10:56:49.917253,99,99
2023-01-04 10:56:50.119301,140,90
2023-01-04 10:56:50.316516,176,92
2023-01-04 10:56:50.516829,173,90
2023-01-04 10:56:50.716876,129,96
2023-01-04 10:56:50.917379,110,94
2023-01-04 10:56:51.119320,101,91
2023-01-04 10:56:51.318364,88,91
2023-01-04 10:56:51.517052,108,97
2023-01-04 10:56:51.717465,173,94
2023-01-04 10:56:51.917726,164,91
2023-01-04 10:56:52.117387,147,93
2023-01-04 10:56:52.317567,147,91
2023-01-04 10:56:52.517439,91,98
2023-01-04 10:56:52.717358,169,96
2023-01-04 10:56:52.917432,149,91
2023-01-04 10:56:53.116994,140,97
2023-01-04 10:56:53.318281,154,94
2023-01-04 10:56:53.516862,113,99
2023-01-04 10:56:53.716526,86,99
2023-01-04 10:56:53.916464,143,95
2023-01-04 10:56:54.116492,155,93
2023-01-04 10:56:54.317019,176,90
2023-01-04 10:56:54.517260,121,96
2023-01-04 10:56:54.716527,154,91
2023-01-04 10:56:54.916887,93,97
2023-01-04 10:56:55.116819,106,99
2023-01-04 10:56:55.317018,122,90
2023-01-04 10:56:55.516783,179,92
2023-01-04 10:56:55.717069,156,91
2023-01-04 10:56:55.917350,146,96
2023-01-04 10:56:56.117703,89,92
2023-01-04 10:56:56.317257,132,95
2023-01-04 10:56:56.517469,133,95
2023-01-04 10:56:56.716618,117,94
2023-01-04 10:56:56.916273,90,92
2023-01-04 10:56:57.116347,97,97
2023-01-04 10:56:57.316987,142,93
2023-01-04 10:56:57.516968,89,98
2023-01-04 10:56:57.716985,169,99
2023-01-04 10:56:57.919033,176,99
2023-01-04 10:56:58.116998,95,93
2023-01-04 10:56:58.317077,87,91
2023-01-04 10:56:58.516705,163,95
2023-01-04 10:56:58.717514,141,91
2023-01-04 10:56:58.917606,116,96
2023-01-04 10:56:59.117926,155,91
2023-01-04 10:56:59.317178,115,99
2023-01-04 10:56:59.517266,97,93
2023-01-04 10:56:59.716771,157,97
2023-01-04 10:56:59.917252,143,94
2023-01-04 10:57:00.116591,126,91
2023-01-04 10:57:00.316796,172,92
2023-01-04 10:57:00.516598,173,91
2023-01-04 10:57:00.717199,143,95
2023-01-04 10:57:00.917368,154,94
2023-01-04 10:57:01.116532,120,94
2023-01-04 10:57:01.317375,101,90
2023-01-04 10:57:01.516583,156,93
2023-01-04 10:57:01.716711,106,94
2023-01-04 10:57:01.916993,96,91
2023-01-04 10:57:02.116936,172,92
2023-01-04 10:57:02.317512,95,92
2023-01-04 10:57:02.517662,171,94
2023-01-04 10:57:02.718981,86,90
2023-01-04 10:57:02.918054,165,92
2023-01-04 10:57:03.117814,121,92
2023-01-04 10:57:03.316960,101,94
2023-01-04 10:57:03.517839,99,92
2023-01-04 10:57:03.716914,115,97
2023-01-04 10:57:03.916694,156,93
2023-01-04 10:57:04.116627,184,97
2023-01-04 10:57:04.317658,165,91
2023-01-04 10:57:04.516933,131,90
2023-01-04 10:57:04.719257,150,93
2023-01-04 10:57:04.917870,110,96
2023-01-04 10:57:05.117458,93,90
2023-01-04 10:57:05.317012,151,90
2023-01-04 10:57:05.517199,167,93
2023-01-04 10:57:05.717286,140,99
2023-01-04 10:57:05.917186,164,92
2023-01-04 10:57:06.117585,178,97
2023-01-04 10:57:06.316561,170,90
2023-01-04 10:57:06.516667,164,92
2023-01-04 10:57:06.716508,92,99
2023-01-04 10:57:06.916267,107,96
2023-01-04 10:57:07.116464,181,92
2023-01-04 10:57:07.316485,162,91
2023-01-04 10:57:07.516931,182,92
2023-01-04 10:57:07.716305,135,90
2023-01-04 10:57:07.916951,165,99
2023-01-04 10:57:08.117062,95,94
2023-01-04 10:57:08.316758,110,99
2023-01-04 10:57:08.517310,153,96
2023-01-04 10:57:08.717044,156,94
2023-01-04 10:57:08.916822,97,90
2023-01-04 10:57:09.118451,138,94
2023-01-04 10:57:09.317448,176,99
2023-01-04 10:57:09.517317,152,98
2023-01-04 10:57:09.717602,120,95
2023-01-04 10:57:09.917120,122,99
2023-01-04 10:57:10.117147,88,90
2023-01-04 10:57:10.320391,121,92
2023-01-04 10:57:10.517143,167,94
2023-01-04 10:57:10.717365,136,97
2023-01-04 10:57:10.917011,110,92
2023-01-04 10:57:11.116481,106,93
2023-01-04 10:57:11.317195,124,98
2023-01-04 10:57:11.517338,146,97
2023-01-04 10:57:11.717414,125,95
2023-01-04 10:57:11.918475,96,90
2023-01-04 10:57:12.117358,171,90
2023-01-04 10:57:12.316926,92,97
2023-01-04 10:57:12.517489,184,91
2023-01-04 10:57:12.716938,108,91
2023-01-04 10:57:12.917026,140,91
2023-01-04 10:57:13.116708,98,94
2023-01-04 10:57:13.318430,170,97
2023-01-04 10:57:13.517818,119,93
2023-01-04 10:57:13.716726,118,95
2023-01-04 10:57:13.916402,175,99
2023-01-04 10:57:14.116190,129,97
2023-01-04 10:57:14.316492,87,91
2023-01-04 10:57:14.517027,126,91
2023-01-04 10:57:14.716394,157,91
2023-01-04 10:57:14.916793,162,96
2023-01-04 10:57:15.117279,140,91
2023-01-04 10:57:15.317801,100,91
2023-01-04 10:57:15.517378,100,91
2023-01-04 10:57:15.717126,180,94
2023-01-04 10:57:15.917457,95,97
2023-01-04 10:57:16.117723,130,90
2023-01-04 10:57:16.317677,146,91
2023-01-04 10:57:16.517283,111,96
2023-01-04 10:57:16.718475,145,94
2023-01-04 10:57:16.917854,167,93
2023-01-04 10:57:17.116982,122,95
2023-01-04 10:57:17.317486,107,91
2023-01-04 10:57:17.517701,114,91
2023-01-04 10:57:17.717792,139,98
