Timezone(sec),19800
Timestamp,HR,SPO2
2023-01-04 15:13:45.613164,104,94
2023-01-04 15:13:45.803859,160,92
2023-01-04 15:13:46.006171,159,93
2023-01-04 15:13:46.206477,171,97
2023-01-04 15:13:46.404781,169,91
2023-01-04 15:13:46.604793,114,91
2023-01-04 15:13:46.806687,95,93
2023-01-04 15:13:47.004255,129,95
2023-01-04 15:13:47.203825,184,92
2023-01-04 15:13:47.405650,125,93
2023-01-04 15:13:47.605328,102,91
2023-01-04 15:13:47.804526,101,92
2023-01-04 15:13:48.005407,93,94
2023-01-04 15:13:48.203718,152,90
2023-01-04 15:13:48.403581,152,91
2023-01-04 15:13:48.605146,134,90
2023-01-04 15:13:48.803821,126,94
2023-01-04 15:13:49.004526,100,92
2023-01-04 15:13:49.203875,87,94
2023-01-04 15:13:49.404412,111,99
2023-01-04 15:13:49.604790,166,98
2023-01-04 15:13:49.804009,108,98
2023-01-04 15:13:50.004801,140,95
2023-01-04 15:13:50.204429,87,94
2023-01-04 15:13:50.404121,176,91
2023-01-04 15:13:50.604836,103,94
2023-01-04 15:13:50.804966,180,91
2023-01-04 15:13:51.004204,180,99
2023-01-04 15:13:51.204571,153,90
2023-01-04 15:13:51.404444,178,97
2023-01-04 15:13:51.604056,170,97
2023-01-04 15:13:51.804766,105,90
2023-01-04 15:13:52.003958,100,98
2023-01-04 15:13:52.204377,158,93
2023-01-04 15:13:52.404116,155,95
2023-01-04 15:13:52.603999,87,98
2023-01-04 15:13:52.803870,178,95
2023-01-04 15:13:53.004026,140,97
2023-01-04 15:13:53.204447,145,90
2023-01-04 15:13:53.404044,119,97
2023-01-04 15:13:53.604345,125,94
2023-01-04 15:13:53.804036,172,98
2023-01-04 15:13:54.004287,161,97
2023-01-04 15:13:54.204181,123,92
2023-01-04 15:13:54.404215,98,91
2023-01-04 15:13:54.604216,161,93
2023-01-04 15:13:54.805426,96,97
2023-01-04 15:13:55.003895,159,94
2023-01-04 15:13:55.204541,170,99
2023-01-04 15:13:55.404486,168,91
2023-01-04 15:13:55.604280,171,97
2023-01-04 15:13:55.804466,112,94
2023-01-04 15:13:56.003791,128,92
2023-01-04 15:13:56.204328,98,95
2023-01-04 15:13:56.404614,174,98
2023-01-04 15:13:56.604765,179,91
2023-01-04 15:13:56.804363,101,99
2023-01-04 15:13:57.003910,85,90
2023-01-04 15:13:57.203949,88,98
2023-01-04 15:13:57.405283,88,97
2023-01-04 15:13:57.604457,134,93
2023-01-04 15:13:57.804213,178,97
2023-01-04 15:13:58.005142,136,94
2023-01-04 15:13:58.204204,184,93
2023-01-04 15:13:58.404821,161,91
2023-01-04 15:13:58.604669,112,92
2023-01-04 15:13:58.804023,143,93
2023-01-04 15:13:59.003858,92,97
2023-01-04 15:13:59.207069,130,95
2023-01-04 15:13:59.406355,147,97
2023-01-04 15:13:59.603891,147,90
2023-01-04 15:13:59.805096,176,95
2023-01-04 15:14:00.004222,141,93
2023-01-04 15:14:00.205783,112,92
2023-01-04 15:14:00.404842,137,90
2023-01-04 15:14:00.604500,172,93
2023-01-04 15:14:00.804972,143,99
2023-01-04 15:14:01.005120,112,91
2023-01-04 15:14:01.204639,182,98
2023-01-04 15:14:01.404092,177,97
2023-01-04 15:14:01.605355,178,98
2023-01-04 15:14:01.805227,177,92
2023-01-04 15:14:02.004348,132,97
2023-01-04 15:14:02.205690,93,91
2023-01-04 15:14:02.407022,174,96
2023-01-04 15:14:02.604440,168,96
2023-01-04 15:14:02.804316,86,96
2023-01-04 15:14:03.004784,156,92
2023-01-04 15:14:03.204574,127,91
2023-01-04 15:14:03.404086,119,99
2023-01-04 15:14:03.604899,172,90
2023-01-04 15:14:03.804858,180,96
2023-01-04 15:14:04.005868,126,91
2023-01-04 15:14:04.205226,149,95
2023-01-04 15:14:04.405058,135,92
2023-01-04 15:14:04.603940,181,93
2023-01-04 15:14:04.803886,119,94
2023-01-04 15:14:05.004279,176,98
2023-01-04 15:14:05.204223,184,93
